Site,NitrogenTreatment,IrrigationTreatment,Location,Rotation,Crop,Date,SoilN0_15,SoilN15_30,SoilN30_60,SoilN60_90,SoilN90_120,SoilN120_150,SoilN0_30,SoilN0_60,SoilN0_90,SoilN0_120,SoilN0_150
LincolnRot2_N4_Irr1,N4,Irr1,Lincoln,Rotation2,Ryegrass,2023-01-10,17.976,5.666,17.381,34.475,31.033,25.142,23.642,41.023,75.498,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Ryegrass,2022-06-08,41.766,38.991,9.899,6.257,7.084,,80.757,90.657,96.913,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Ryegrass,2022-07-18,6.741,26.511,40.251,13.851,9.064,,33.252,73.503,87.354,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Ryegrass,2022-08-15,4.209,4.718,19.591,19.642,17.015,,8.926,28.517,48.159,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Ryegrass,2022-09-20,2.426,1.758,5.119,16.959,11.523,,4.184,9.303,26.262,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Ryegrass,2022-10-18,3.914,3.126,5.824,11.909,17.328,,7.040,12.864,24.773,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Ryegrass,2022-12-06,2.546,0.484,,,0.974,,,,,,
LincolnRot2_N1_Irr2,N1,Irr2,Lincoln,Rotation2,Ryegrass,2023-01-10,3.258,1.548,0.515,1.345,1.536,5.160,4.806,5.320,6.666,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Ryegrass,2022-06-08,73.736,35.091,10.793,7.419,8.262,,108.827,119.620,127.039,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Ryegrass,2022-07-18,9.659,30.293,44.876,35.690,13.415,,39.952,84.828,120.518,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Ryegrass,2022-08-15,5.722,3.670,25.376,18.250,13.731,,9.392,34.768,53.018,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Ryegrass,2022-09-20,3.115,1.497,8.166,14.106,15.559,,4.612,12.778,26.884,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Ryegrass,2022-10-18,4.985,3.006,5.183,8.100,19.269,,7.991,13.173,21.273,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Ryegrass,2022-12-06,1.655,0.035,,,,,,,,,
LincolnRot2_N2_Irr2,N2,Irr2,Lincoln,Rotation2,Ryegrass,2023-01-10,4.853,3.101,0.909,0.434,0.899,10.936,7.954,8.864,9.298,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Ryegrass,2022-06-08,94.328,53.085,13.023,16.342,14.048,,147.412,160.435,176.777,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Ryegrass,2022-07-18,13.272,31.921,48.561,32.863,24.364,,45.193,93.754,126.618,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Ryegrass,2022-08-15,4.202,4.381,30.740,28.561,22.476,,8.583,39.324,67.884,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Ryegrass,2022-09-20,30.751,2.791,16.131,31.461,24.801,,33.542,49.673,81.134,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Ryegrass,2022-10-18,5.464,3.238,5.596,13.187,27.460,,8.703,14.299,27.485,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Ryegrass,2022-12-06,4.017,1.659,0.266,1.849,5.751,,5.676,5.941,7.790,,
LincolnRot2_N3_Irr2,N3,Irr2,Lincoln,Rotation2,Ryegrass,2023-01-10,6.154,3.947,1.731,3.839,9.286,14.998,10.101,11.832,15.672,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Ryegrass,2022-06-08,126.719,85.865,57.563,44.302,28.981,,212.584,270.147,314.450,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Ryegrass,2022-07-18,25.447,98.594,95.020,53.868,42.315,,124.042,219.061,272.929,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Ryegrass,2022-08-15,4.772,4.442,62.804,58.621,46.602,,9.215,72.019,130.639,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Ryegrass,2022-09-20,22.376,3.842,33.958,63.898,54.778,,26.218,60.175,124.073,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Ryegrass,2022-10-18,21.467,4.202,12.673,46.269,41.391,,25.669,38.341,84.611,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Ryegrass,2022-12-06,12.194,2.427,5.655,50.842,56.501,,14.621,20.277,71.119,,
LincolnRot2_N4_Irr2,N4,Irr2,Lincoln,Rotation2,Ryegrass,2023-01-10,13.274,5.352,6.833,10.870,29.613,42.419,18.626,25.459,36.329,,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Onions,2021-09-03,41.052,52.070,116.318,67.763,32.796,,93.122,209.440,277.204,310.000,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Onions,2021-09-03,51.798,63.150,125.612,71.506,34.211,,114.947,240.559,312.066,346.276,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Onions,2021-09-03,47.672,55.999,118.405,65.497,32.148,,103.671,222.075,287.572,319.720,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Onions,2021-09-03,51.688,64.367,97.377,62.024,28.578,,116.055,213.433,275.457,304.034,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Onions,2021-09-03,44.528,51.887,116.292,66.156,27.003,,96.415,212.707,278.863,305.866,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Onions,2021-09-03,43.273,50.638,127.669,74.017,42.083,,93.910,221.579,295.596,337.679,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Onions,2021-09-03,57.655,63.574,91.946,48.016,33.015,,121.229,213.175,261.191,294.206,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Onions,2021-09-03,40.323,54.555,114.338,76.761,48.485,,94.879,209.217,285.978,334.462,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Onions,2021-10-15,96.438,67.084,94.194,48.566,30.176,26.546,163.522,257.716,306.282,336.458,363.005
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Onions,2021-10-15,69.807,69.033,112.975,76.004,33.042,29.848,138.840,251.815,327.819,360.861,390.709
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Onions,2021-10-15,70.422,61.241,106.523,62.671,40.547,28.819,131.663,238.185,300.856,341.403,370.222
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Onions,2021-10-15,93.310,65.606,95.203,67.627,35.601,26.603,158.916,254.119,321.746,357.347,383.949
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Onions,2021-10-15,99.029,80.067,107.561,66.196,39.885,26.901,179.096,286.657,352.853,392.738,419.639
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Onions,2021-10-15,70.884,69.739,147.353,97.251,55.259,40.882,140.623,287.977,385.228,440.487,481.369
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Onions,2021-10-15,88.182,53.331,63.619,37.965,22.174,28.056,141.513,205.132,243.096,265.270,293.326
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Onions,2021-10-15,130.471,72.094,141.728,79.051,36.826,27.911,202.564,344.293,423.344,460.170,488.081
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Onions,2021-11-18,79.338,82.135,149.587,103.456,56.120,,161.473,311.061,414.516,470.636,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Onions,2021-11-18,61.687,78.609,146.594,111.604,49.271,,140.296,286.890,398.494,447.765,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Onions,2021-11-18,75.223,79.305,140.511,97.010,51.523,,154.528,295.039,392.048,443.571,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Onions,2021-11-18,85.261,78.756,144.378,93.390,45.483,,164.017,308.394,401.784,447.268,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Onions,2021-11-18,66.453,76.761,159.342,98.999,49.765,,143.214,302.556,401.555,451.320,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Onions,2021-11-18,65.346,62.116,143.380,99.959,53.223,,127.462,270.841,370.800,424.023,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Onions,2021-11-18,61.738,68.469,126.489,79.255,45.888,,130.207,256.697,335.952,381.840,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Onions,2021-11-18,96.297,97.322,140.094,92.285,53.310,,193.619,333.713,425.999,479.309,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Onions,2021-12-14,123.740,57.369,103.504,71.137,38.520,29.128,181.108,284.613,355.750,394.270,423.398
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Onions,2021-12-14,70.969,53.090,107.432,83.543,49.584,43.512,124.058,231.490,315.033,364.617,408.130
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Onions,2021-12-14,86.065,53.279,111.194,82.332,43.486,31.666,139.344,250.538,332.870,376.356,408.022
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Onions,2021-12-14,160.410,66.720,120.609,76.768,36.694,30.130,227.130,347.738,424.507,461.200,491.331
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Onions,2021-12-14,85.477,49.502,105.260,74.348,45.221,24.335,134.980,240.240,314.588,359.809,384.144
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Onions,2021-12-14,59.058,49.430,118.295,82.054,43.236,29.297,108.488,226.783,308.838,352.074,381.371
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Onions,2021-12-14,102.358,40.925,95.055,63.485,45.847,22.427,143.283,238.338,301.822,347.669,370.096
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Onions,2021-12-14,126.191,52.143,99.633,86.155,51.931,24.652,178.334,277.967,364.121,416.052,440.704
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Onions,2022-01-19,112.969,80.156,131.764,112.151,62.445,,193.124,324.889,437.040,499.484,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Onions,2022-01-19,76.245,70.115,126.337,92.894,77.038,,146.360,272.697,365.591,442.629,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Onions,2022-01-19,141.336,75.515,140.071,117.468,71.581,,216.851,356.923,474.390,545.972,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Onions,2022-01-19,201.888,75.517,137.355,98.217,58.797,,277.405,414.760,512.978,571.774,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Onions,2022-01-19,161.072,62.869,120.982,89.408,115.574,,223.941,344.923,434.331,549.905,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Onions,2022-01-19,116.385,64.555,116.441,89.907,57.999,,180.940,297.381,387.288,445.286,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Onions,2022-01-19,156.833,78.331,104.437,70.951,49.807,,235.164,339.601,410.552,460.359,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Onions,2022-01-19,211.088,76.282,118.304,108.781,70.788,,287.371,405.675,514.456,585.244,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Onions,2022-02-10,56.421,62.546,151.756,129.061,74.828,56.698,118.967,270.723,399.784,474.613,531.311
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Onions,2022-02-10,33.710,61.416,153.294,112.315,93.591,51.355,95.126,248.420,360.735,454.326,505.680
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Onions,2022-02-10,63.097,67.035,164.787,124.829,76.052,56.542,130.132,294.919,419.748,495.799,552.341
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Onions,2022-02-10,81.468,83.762,141.409,108.143,66.050,56.464,165.230,306.638,414.781,480.831,537.295
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Onions,2022-02-10,24.560,40.451,137.761,103.917,70.924,45.377,65.011,202.772,306.689,377.613,422.990
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Onions,2022-02-10,53.584,53.072,159.012,113.372,67.969,54.029,106.656,265.668,379.040,447.009,501.038
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Onions,2022-02-10,97.762,81.812,152.484,115.644,61.132,35.053,179.574,332.057,447.701,508.833,543.886
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Onions,2022-02-10,79.296,77.336,153.968,119.453,104.902,43.800,156.632,310.600,430.054,534.955,578.756
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Onions,2022-04-21,35.855,37.548,104.234,112.526,105.489,,73.403,177.637,290.163,395.652,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Onions,2022-04-21,30.847,29.007,90.879,109.805,92.572,,59.854,150.734,260.539,353.111,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Onions,2022-04-21,44.615,44.578,118.088,116.820,104.711,,89.192,207.280,324.100,428.810,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Onions,2022-04-21,34.795,48.133,161.658,130.008,96.651,,82.928,244.586,374.594,471.245,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Onions,2022-04-21,135.557,38.760,111.785,109.677,96.325,,174.317,286.101,395.778,492.103,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Onions,2022-04-21,107.674,32.288,97.971,100.772,86.035,,139.962,237.933,338.705,424.739,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Onions,2022-04-21,108.032,30.985,101.929,111.583,103.965,,139.017,240.945,352.528,456.493,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Onions,2022-04-21,108.145,49.242,136.924,115.534,120.701,,157.387,294.311,409.845,530.545,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Ryegrass,2022-06-07,54.431,47.782,76.597,92.122,89.071,95.463,102.213,178.810,270.932,360.003,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Ryegrass,2022-07-25,13.300,35.194,90.826,106.830,127.283,,48.494,139.320,246.150,,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Ryegrass,2022-09-05,4.291,2.948,24.323,98.646,97.606,,7.238,31.562,130.207,,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Ryegrass,2022-10-12,2.710,3.574,10.269,49.361,68.147,88.208,6.285,16.553,65.915,134.062,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Ryegrass,2022-12-05,8.945,6.367,10.612,13.419,28.651,67.578,15.312,25.924,39.343,67.994,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Ryegrass,2023-02-01,14.268,20.332,42.677,27.287,25.117,,34.599,77.277,104.564,,
HawkesBayRot3_N1_irr1,N1,irr1,HawkesBay,Rotation3,Ryegrass,2023-03-06,11.864,14.015,36.295,32.781,24.707,45.239,25.879,62.174,94.955,119.662,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Ryegrass,2022-06-07,54.767,57.479,128.153,150.822,118.260,102.553,112.245,240.398,391.220,509.481,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Ryegrass,2022-07-25,24.510,42.098,80.168,115.038,126.191,,66.608,146.776,261.814,,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Ryegrass,2022-09-05,4.281,5.233,56.660,120.404,100.110,,9.514,66.175,186.579,,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Ryegrass,2022-10-12,3.957,3.725,15.767,67.167,73.885,72.966,7.682,23.449,90.616,164.501,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Ryegrass,2022-12-05,9.344,5.999,13.953,10.408,27.887,61.975,15.343,29.296,39.704,67.591,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Ryegrass,2023-02-01,14.842,22.325,37.740,17.118,20.614,,37.167,74.908,92.026,,
HawkesBayRot3_N2_irr1,N2,irr1,HawkesBay,Rotation3,Ryegrass,2023-03-06,7.707,8.815,39.113,25.339,16.515,57.192,16.522,55.635,80.974,97.489,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Ryegrass,2022-06-07,60.590,72.320,118.392,108.778,85.533,99.430,132.910,251.302,360.080,445.613,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Ryegrass,2022-07-25,22.595,51.584,146.984,155.306,137.554,,74.179,221.163,376.469,,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Ryegrass,2022-09-05,4.117,3.094,50.335,96.920,91.129,,7.211,57.547,154.466,,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Ryegrass,2022-10-12,5.257,1.537,9.432,82.278,88.942,83.196,6.794,16.226,98.504,187.446,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Ryegrass,2022-12-05,12.222,6.357,14.981,8.685,25.813,78.455,18.579,33.560,42.245,68.058,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Ryegrass,2023-02-01,11.315,22.094,43.995,22.908,26.706,,33.409,77.405,100.312,,
HawkesBayRot3_N3_irr1,N3,irr1,HawkesBay,Rotation3,Ryegrass,2023-03-06,8.856,11.915,51.666,25.294,24.403,48.348,20.771,72.437,97.731,122.134,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Ryegrass,2022-06-07,62.930,71.755,176.157,151.725,121.739,112.066,134.685,310.842,462.567,584.307,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Ryegrass,2022-07-25,17.627,55.223,155.321,168.427,162.765,,72.850,228.171,396.598,,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Ryegrass,2022-09-05,4.798,3.503,51.961,157.288,136.511,,8.301,60.261,217.549,,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Ryegrass,2022-10-12,3.650,2.414,26.002,86.202,79.700,72.564,6.064,32.066,118.268,197.967,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Ryegrass,2022-12-05,7.940,5.657,9.803,8.988,24.273,71.109,13.597,23.400,32.388,56.661,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Ryegrass,2023-02-01,11.563,18.270,40.929,30.099,29.640,,29.833,70.763,100.861,,
HawkesBayRot3_N4_irr1,N4,irr1,HawkesBay,Rotation3,Ryegrass,2023-03-06,9.439,12.931,41.890,32.550,30.469,80.293,22.370,64.260,96.810,127.279,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Ryegrass,2022-06-07,61.339,74.372,85.111,88.759,83.128,78.026,135.711,220.822,309.581,392.709,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Ryegrass,2022-07-25,22.397,35.941,99.175,93.509,110.686,,58.339,157.514,251.023,,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Ryegrass,2022-09-05,4.816,3.506,28.683,80.608,100.398,,8.322,37.005,117.613,,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Ryegrass,2022-10-12,2.351,4.280,10.452,12.483,27.285,58.086,6.631,17.083,29.566,56.851,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Ryegrass,2022-12-05,7.345,7.994,11.233,10.013,28.642,,15.340,26.573,36.586,,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Ryegrass,2023-02-01,15.841,25.183,47.535,24.808,9.898,,41.023,88.558,113.366,,
HawkesBayRot3_N1_irr2,N1,irr2,HawkesBay,Rotation3,Ryegrass,2023-03-06,9.984,10.019,33.412,21.931,18.894,28.300,20.004,53.415,75.347,94.241,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Ryegrass,2022-06-07,54.282,58.176,101.749,93.118,93.040,75.561,112.458,214.207,307.324,400.364,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Ryegrass,2022-07-25,17.124,43.107,104.727,89.633,85.656,,60.231,164.957,254.590,,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Ryegrass,2022-09-05,5.445,7.589,55.644,129.547,113.089,,13.034,68.678,198.225,,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Ryegrass,2022-10-12,7.925,4.476,13.914,38.169,76.983,69.538,12.401,26.316,64.484,141.467,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Ryegrass,2022-12-05,14.689,9.610,21.167,14.200,35.719,48.984,24.300,45.466,59.666,95.386,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Ryegrass,2023-02-01,11.671,21.427,38.850,22.482,11.178,,33.098,71.949,94.431,,
HawkesBayRot3_N2_irr2,N2,irr2,HawkesBay,Rotation3,Ryegrass,2023-03-06,8.924,11.372,36.639,28.413,16.552,38.245,20.296,56.935,85.348,101.900,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Ryegrass,2022-06-07,53.601,59.528,140.903,126.280,123.596,99.266,113.129,254.032,380.312,503.907,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Ryegrass,2022-07-25,17.953,43.154,122.477,101.241,149.965,,61.106,183.584,284.825,,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Ryegrass,2022-09-05,4.924,5.625,50.185,98.490,81.780,,10.549,60.734,159.224,,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Ryegrass,2022-10-12,2.779,4.163,5.262,40.050,66.551,33.796,6.942,12.205,52.254,118.805,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Ryegrass,2022-12-05,6.312,5.224,10.834,10.586,13.553,45.328,11.536,22.370,32.955,46.508,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Ryegrass,2023-02-01,14.014,19.920,39.604,22.561,16.444,,33.934,73.538,96.099,,
HawkesBayRot3_N3_irr2,N3,irr2,HawkesBay,Rotation3,Ryegrass,2023-03-06,9.274,11.704,35.130,16.035,15.701,32.909,20.978,56.108,72.143,87.844,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Ryegrass,2022-06-07,57.253,66.821,160.060,152.734,146.416,112.410,124.073,284.134,436.867,583.283,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Ryegrass,2022-07-25,18.993,43.599,126.838,133.296,106.717,,62.592,189.431,322.726,,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Ryegrass,2022-09-05,4.653,4.437,43.277,105.198,138.278,,9.090,52.367,157.564,,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Ryegrass,2022-10-12,4.137,3.406,7.638,44.800,44.756,61.924,7.544,15.182,59.981,104.737,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Ryegrass,2022-12-05,9.927,6.048,10.412,14.705,53.078,47.388,15.975,26.386,41.091,94.169,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Ryegrass,2023-02-01,12.795,21.342,49.558,23.046,17.556,,34.137,83.695,106.741,,
HawkesBayRot3_N4_irr2,N4,irr2,HawkesBay,Rotation3,Ryegrass,2023-03-06,8.480,13.387,39.644,27.317,33.660,34.094,21.867,61.511,88.828,122.488,
HawkesBayRot4_N1_Irr1,N1,Irr1,HawkesBay,Rotation4,Pak choi,2021-04-06,128.352,62.788,32.377,20.894,47.308,36.175,191.140,223.516,244.410,291.718,327.894
HawkesBayRot4_N2_Irr1,N2,Irr1,HawkesBay,Rotation4,Pak choi,2021-04-06,132.260,68.600,31.693,18.943,33.103,35.131,200.861,232.554,251.496,284.599,319.730
HawkesBayRot4_N3_Irr1,N3,Irr1,HawkesBay,Rotation4,Pak choi,2021-04-06,128.101,61.185,25.642,20.180,33.384,20.607,189.285,214.927,235.107,268.491,289.098
HawkesBayRot4_N4_Irr1,N4,Irr1,HawkesBay,Rotation4,Pak choi,2021-04-06,133.385,80.947,43.532,29.083,59.788,31.617,214.332,257.864,286.947,346.735,378.352
HawkesBayRot4_N1_Irr2,N1,Irr2,HawkesBay,Rotation4,Pak choi,2021-04-06,144.870,76.886,73.368,15.350,60.188,26.933,221.756,295.123,310.473,370.661,397.594
HawkesBayRot4_N2_Irr2,N2,Irr2,HawkesBay,Rotation4,Pak choi,2021-04-06,133.813,67.998,27.107,49.347,66.130,37.127,201.811,228.918,278.265,344.395,381.522
HawkesBayRot4_N3_Irr2,N3,Irr2,HawkesBay,Rotation4,Pak choi,2021-04-06,124.729,78.742,26.811,24.351,35.522,23.045,203.471,230.282,254.633,290.155,313.200
HawkesBayRot4_N4_Irr2,N4,Irr2,HawkesBay,Rotation4,Pak choi,2021-04-06,138.383,84.607,28.258,15.294,168.315,28.318,222.990,251.248,266.541,434.857,463.175
HawkesBayRot4_N1_Irr1,N1,Irr1,HawkesBay,Rotation4,Pak choi,2021-05-19,212.796,100.093,41.249,23.309,,,312.889,354.138,377.447,,
HawkesBayRot4_N2_Irr1,N2,Irr1,HawkesBay,Rotation4,Pak choi,2021-05-19,188.358,99.458,50.215,22.477,,,287.816,338.031,360.508,,
HawkesBayRot4_N3_Irr1,N3,Irr1,HawkesBay,Rotation4,Pak choi,2021-05-19,207.851,97.556,44.725,18.282,,,305.407,350.132,368.414,,
HawkesBayRot4_N4_Irr1,N4,Irr1,HawkesBay,Rotation4,Pak choi,2021-05-19,227.698,104.781,53.175,27.316,,,332.480,385.654,412.970,,
HawkesBayRot4_N1_Irr2,N1,Irr2,HawkesBay,Rotation4,Pak choi,2021-05-19,215.100,110.299,55.185,19.597,,,325.399,380.583,400.180,,
HawkesBayRot4_N2_Irr2,N2,Irr2,HawkesBay,Rotation4,Pak choi,2021-05-19,197.831,88.446,30.993,16.764,,,286.276,317.269,334.033,,
HawkesBayRot4_N3_Irr2,N3,Irr2,HawkesBay,Rotation4,Pak choi,2021-05-19,198.686,126.598,34.612,20.915,,,325.284,359.896,380.812,,
HawkesBayRot4_N4_Irr2,N4,Irr2,HawkesBay,Rotation4,Pak choi,2021-05-19,194.589,114.982,41.469,26.821,,,309.571,351.040,377.861,,
